Stojkovic Yugoslavia
Pancev Yugoslavia
Inzagi Italy
Nasri France
Jugovic Yugoslavia
Riberry France
Dzajic Yugoslavia
Carlos Brazil
Lennon England
Dunga Brazil
Petrovic Yugoslavia
Adriano Brazil
Acimovic Yugoslavia
Rivaldo Brazil
Karasi Yugoslavia
Maldini Italy
Donadoni Italy
Kapelo Italy
Mitic Yugoslavia
Panucci Italy
Savic Yugoslavia
Bagio Italy
Materazzi Italy
Mihajlovic Yugoslavia
Viali Italy
Ferrara Italy
Cantona France
Canavaro Italy
Ronaldo Brazil
Pele Brazil
Rivelinho Brazil
Abiati Italy
Lucio Brazil
Romario Brazil
Benzema France
Bebeto Brazil
Beckham England
Cole England
McMannaman England
Savicevic Yugoslavia
Platini France
Rooney England
Del-Piero Italy
Scholes England
Henry France
Lampard England
Terri England
Robbson England
Zidane France
Viera France
Djorkaef France
Deschamp France
Owen England
Scheringham England
Bartez France
